name,countries,regions,localities,status,has_downhill,has_nordic,downhill_distance_km,nordic_distance_km,vertical_m,min_elevation_m,max_elevation_m,lift_count,surface_lifts_count,run_convention,wikidata_id,websites,openskimap,id,geometry,lat,lng,sources
,Belarus,Mahilyowskaya Voblasts',,operating,no,yes,,1,18,166,184,,,europe,,,https://openskimap.org/?obj=006ebeac-5154-455a-9fb6-f8a4e2034489,006ebeac-5154-455a-9fb6-f8a4e2034489,Point,53.177778,29.176475,
Sinnissippi Golf Course Winter Trails,United States,Illinois,Rockford,operating,no,yes,,3,16,234,250,,,north_america,,https://rockfordparkdistrict.org/cross-country-skiing,https://openskimap.org/?obj=007044d8e7985085b62a9398833ac2623a591156,007044d8e7985085b62a9398833ac2623a591156,Point,42.281419,-89.059965,https://www.openstreetmap.org/relation/19918797
,Finland,Southern Ostrobothnia,Kuortane,operating,no,yes,,7,40,87,127,,,europe,,,https://openskimap.org/?obj=0070a309-6ab2-4fa3-b2b5-3e3b9a2ac853,0070a309-6ab2-4fa3-b2b5-3e3b9a2ac853,Point,62.834406,23.520436,
,United States,Minnesota,Silver Creek,operating,no,yes,,8,41,298,339,,,north_america,,,https://openskimap.org/?obj=007bd6cf-cb05-45d1-a562-a3b830d54aea,007bd6cf-cb05-45d1-a562-a3b830d54aea,Point,45.314631,-93.942606,
"サッポロテイネ, Sapporo Teine",Japan,Hokkaido Prefecture,,operating,yes,no,14,,646,340,986,12,1,japan,Q7421109,https://sapporo-teine.com/snow/,https://openskimap.org/?obj=007cb46a0e3b4f61b720e722ef138ae446f153af,007cb46a0e3b4f61b720e722ef138ae446f153af,Polygon,43.087512,141.207048,https://www.openstreetmap.org/way/1083658291 https://www.skimap.org/SkiAreas/view/1307
Lofer Nordic,Austria,Salzburg,Lofer,operating,no,yes,,2,4,628,631,,,europe,,,https://openskimap.org/?obj=007e900c759d61e9e3147211d3bbab1a656d782e,007e900c759d61e9e3147211d3bbab1a656d782e,Point,47.575224,12.695646,https://www.skimap.org/SkiAreas/view/19099
Iroquois Mountain Lodge (Mission Hill),United States,Michigan,,abandoned,yes,no,,,,,,,,north_america,,,https://openskimap.org/?obj=0081582f08190ffb53a7823ffac363abcd82bd3b,0081582f08190ffb53a7823ffac363abcd82bd3b,Point,46.476231,-84.686952,https://www.skimap.org/SkiAreas/view/19158
,Russia,Moscow Oblast,,operating,yes,no,0,,26,192,218,3,3,europe,,,https://openskimap.org/?obj=008c14b7-4fee-4e8c-8d91-d51028dcc648,008c14b7-4fee-4e8c-8d91-d51028dcc648,Point,56.142311,37.465444,
,Russia,Kemerovo,,operating,yes,no,0,,96,248,344,1,1,europe,,,https://openskimap.org/?obj=009a34af-6a16-48f4-b018-f3d84d1d7690,009a34af-6a16-48f4-b018-f3d84d1d7690,Point,53.197750,87.256608,
Villaggio Palumbo,Italy,Crotone,,operating,yes,no,7,,314,1337,1650,4,2,europe,,http://www.palumbosila.it/,https://openskimap.org/?obj=009d4cedccaaed9c4fbaf1f4409d1e428addfdd3,009d4cedccaaed9c4fbaf1f4409d1e428addfdd3,Point,39.190926,16.647566,https://www.skimap.org/SkiAreas/view/4479
